Province,Year,GDP
Sulawesi Barat,2008,8296605.6
Sulawesi Barat,2009,9403378.61
Sulawesi Barat,2010,10986624.75
Sulawesi Barat,2011,12883949.22
Sulawesi Selatan,2000,28192718.24
Sulawesi Selatan,2001,31864070.76
Sulawesi Selatan,2002,35267406.91
Sulawesi Selatan,2003,39335319.94
Sulawesi Selatan,2004,44659949.93
Sulawesi Selatan,2005,51650599.26
Sulawesi Selatan,2006,60756420.07
Sulawesi Selatan,2007,69107119.49
Sulawesi Selatan,2008,84966308.76
Sulawesi Selatan,2009,99757707.25
Sulawesi Selatan,2010,117612050.9
Sulawesi Selatan,2011,137146156.3
Sulawesi Tengah,2000,8649205.62
Sulawesi Tengah,2001,10380274.64
Sulawesi Tengah,2002,11793832.81
Sulawesi Tengah,2003,13023148.46
Sulawesi Tengah,2004,14659017
Sulawesi Tengah,2005,17053327.01
Sulawesi Tengah,2006,19068270.75
Sulawesi Tengah,2007,22294059.51
Sulawesi Tengah,2008,27495423.79
Sulawesi Tengah,2009,31120444.03
Sulawesi Tengah,2010,35373546
Sulawesi Tengah,2011,43366062.5
Sulawesi Tenggara,2000,5774652.61
Sulawesi Tenggara,2001,6864339.77
Sulawesi Tenggara,2002,8043485.24
Sulawesi Tenggara,2003,8908781.22
Sulawesi Tenggara,2004,10267955.37
Sulawesi Tenggara,2005,12981046.47
Sulawesi Tenggara,2006,15270350.75
Sulawesi Tenggara,2007,17953074.41
Sulawesi Tenggara,2008,22202848.01
Sulawesi Tenggara,2009,25655940.7
Sulawesi Tenggara,2010,28369052.73
Sulawesi Tenggara,2011,32032498.05
Sulawesi Utara,2000,68086174.27
Sulawesi Utara,2001,78437128.28
Sulawesi Utara,2002,88868564.18
Sulawesi Utara,2003,102580911
Sulawesi Utara,2004,117241670.7
Sulawesi Utara,2005,138556296.7
Sulawesi Utara,2006,159187945.3
Sulawesi Utara,2007,180375387.5
Sulawesi Utara,2008,212145469.9
Sulawesi Utara,2009,234473453.8
Sulawesi Utara,2010,273537053.4
Sulawesi Utara,2011,312008093.8
Sumatera Barat,2000,22889614.05
Sumatera Barat,2001,26154134.82
Sumatera Barat,2002,29899129.81
Sumatera Barat,2003,33130682.95
Sumatera Barat,2004,37358645.93
Sumatera Barat,2005,44674569.24
Sumatera Barat,2006,53029588.1
Sumatera Barat,2007,59799045.3
Sumatera Barat,2008,70954515.42
Sumatera Barat,2009,76752937.71
Sumatera Barat,2010,87221253.05
Sumatera Barat,2011,98957265.63
Sumatera Selatan,2000,27983455
Sumatera Selatan,2001,31960051
Sumatera Selatan,2002,35773989
Sumatera Selatan,2003,40113615
Sumatera Selatan,2004,45470766
Sumatera Selatan,2005,52726675
Sumatera Selatan,2006,63500068
Sumatera Selatan,2007,74905270
Sumatera Selatan,2008,89100922
Sumatera Selatan,2009,98907507
Sumatera Selatan,2010,112449335
Sumatera Selatan,2011,134959265.6
Sumatera Utara,2000,10691716.23
Sumatera Utara,2001,11782985.85
Sumatera Utara,2002,13057807.2
Sumatera Utara,2003,14140474.88
Sumatera Utara,2004,15705710.35
Sumatera Utara,2005,18744519.11
Sumatera Utara,2006,21190040.41
Sumatera Utara,2007,24052135.77
Sumatera Utara,2008,28664315.54
Sumatera Utara,2009,32993081.62
Sumatera Utara,2010,36793036.3
Sumatera Utara,2011,41785855.47
